tractid,nta_name,totpop00,pop24_00,NHW00,A20_34y00,colleg00,mdfami00,mdrent00,field_10,totpop19,pop24_16,NHW16,A20_34y16,College16,mdfami19,mdrent19,field_18,NHW00_19,A20_34y00_,College00_,mdfami00_1,mdrent00_1,field_24,scores_raw,score_0.02,score_0.5,score_0.97,pr_uz0217,pr_bf_1ft,pr_bf_025m,pr_bf_05mi
"36047025300",Bedford,"2538","1315",8.000000000000000,"521",208.000000000000000,"33523","577",,"3496",,,,,"55417","1680",,127.950872399999994,-0.094654928000000,2.542606385000000,0.653103839000000,1.911611785000000,,3.286724400000000,3.928396500000000,3.220711800000000,2.507718200000000,"1","1","1","1"
"36047025400",Bensonhurst West,"3379","2375",1692.000000000000000,"894",342.000000000000000,"42296","725",,"3413",,,,,"44886","1253",,-0.157999521000000,-0.556325302000000,0.959812242000000,0.061235105000000,0.728275862000000,"0",-1.035943420000000,-0.148288370000000,-0.899726070000000,-1.651355570000000,"0","0","0","0"
"36047025500",Bedford,"5077","2562",23.000000000000000,"898",79.000000000000000,"13891","219",,"5598",,,,,"21865","515",,34.212583690000002,-0.354786270000000,3.121370200000000,0.574040746000000,1.351598174000000,,2.384516600000000,3.080606200000000,2.349996100000000,1.588313600000000,"0","0","1","1"
"36047025600",Bensonhurst West,"2893","2074",1683.000000000000000,"617",317.000000000000000,"45078","701",,"3199",,,,,"51625","1583",,-0.585709995000000,-0.283372083000000,0.377913839000000,0.145237145000000,1.258202568000000,"0",-0.926925500000000,-0.051191170000000,-0.783760180000000,-1.526237110000000,"0","0","0","0"
"36047025700",Bedford,"2089","1146",53.000000000000000,"497",93.000000000000000,"37258","725",,"2476",,,,,"69074","1659",,15.141722800000000,-0.108770555000000,3.708387618000000,0.853937409000000,1.288275862000000,,2.726387000000000,3.159393700000000,2.457280300000000,1.719036200000000,"1","1","1","1"
"36047025800",Bensonhurst West,"4329","3015",2936.000000000000000,"992",635.000000000000000,"35466","695",,"4354",,,,,"50625","1388",,-0.275979587000000,-0.297062536000000,0.460854893000000,0.427423448000000,0.997122302000000,"0",-0.518708400000000,0.230971700000000,-0.553216550000000,-1.340240190000000,"0","0","0","1"
"36047025901",Bedford,"1924","1118",35.000000000000000,"501",83.000000000000000,"16765","594",,"2257",,,,,"59762","1475",,18.655269319999999,-0.130916722000000,5.059648430000000,2.564688339000000,1.483164983000000,,3.911754200000000,4.196787100000000,3.462581000000000,2.687600200000000,"1","1","1","1"
"36047025902",Bedford,"3558","1595",29.000000000000000,"556",55.000000000000000,"14278","260",,"3533",,,,,"18167","495",,11.466908070000001,-0.352856520000000,0.647942773000000,0.272377084000000,0.903846154000000,,0.461594700000000,1.906729200000000,1.057771100000000,0.274731100000000,"0","0","1","1"
"36047026000",Bensonhurst West,"3463","2445",2167.000000000000000,"739",305.000000000000000,"37841","756",,"3214",,,,,"48214","1416",,-0.414276029000000,-0.376177296000000,1.267993512000000,0.274120663000000,0.873015873000000,"0",-0.383232930000000,0.318010700000000,-0.419978090000000,-1.167031170000000,"0","0","0","0"
"36047026100",Bedford,"4445","2394",23.000000000000000,"1031",128.000000000000000,"18493","537",,"4497",,,,,"51885","1503",,53.449971480000002,-0.065926266000000,9.177809512000000,1.805656194000000,1.798882682000000,,4.822684700000000,5.117707300000000,4.377449600000001,3.578035500000000,"1","1","1","1"
"36047026200",Bensonhurst West,"2410","1664",1389.000000000000000,"422",225.000000000000000,"46250","708",,"2425",,,,,"65577","1345",,-0.392549709000000,-0.320318562000000,1.495578465000000,0.417881081000000,0.899717514000000,"0",-0.034715950000000,0.578248300000000,-0.159204340000000,-0.923327610000000,"0","0","0","0"
"36047026300",Bedford,"1831","977",4.000000000000000,"398",128.000000000000000,"27700","555",,"2015",,,,,"41875","1360",,118.492059600000005,0.007492799000000,3.358847705000000,0.511732852000000,1.450450450000000,,3.352852000000000,4.200199200000000,3.451180100000000,2.683635100000000,"1","0","1","1"
"36047026400",Bensonhurst West,"4440","2908",2702.000000000000000,"1061",372.000000000000000,"34239","715",,"4594",,,,,"48942","1375",,-0.430915425000000,-0.261997680000000,0.670552052000000,0.429422588000000,0.923076923000000,"0",-0.435094470000000,0.291431400000000,-0.414359440000000,-1.147302940000000,"0","0","0","0"
"36047026500",Bedford,"3717","2021",26.000000000000000,"832",263.000000000000000,"25196","644",,"4118",,,,,"70707","1400",,40.277627299999999,-0.298644028000000,2.758067614000000,1.806278774000000,1.173913043000000,"0",3.020562800000000,3.856876100000000,3.110480100000000,2.356179800000000,"1","0","1","1"
